Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
0.0,0.0,0.0,217.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,185.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,358.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,186.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,135.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,67.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,326.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,67.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,261.0,Boeing787,100.76335877862594,Non-Fatal,
0.0,3.0,3.0,213.0,Boeing777,117.8082191780822,Non-Fatal,
0.0,0.0,0.0,146.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,164.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,218.0,Boeing767,105.02283105022832,Non-Fatal,
0.0,0.0,0.0,295.0,Boeing757,100.0,Non-Fatal,
0.0,3.0,0.0,105.0,Boeing737,130.55555555555557,Non-Fatal,
0.0,0.0,0.0,184.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,140.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,132.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,189.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,321.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,1.0,172.0,Boeing737,101.15606936416187,Non-Fatal,
0.0,0.0,0.0,142.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,84.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,86.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,125.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,169.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,157.0,Boeing757,101.26582278481013,Non-Fatal,
0.0,0.0,0.0,73.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,99.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,378.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,174.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,173.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,48.0,Boeing737,100.0,Non-Fatal,
1.0,125.0,8.0,6.0,Boeing737,1110.7142857142858,Fatal-1,
0.0,0.0,0.0,46.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,115.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,352.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,181.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,179.0,Boeing737,100.0,Non-Fatal,
112.0,0.0,1.0,0.0,Boeing737,2480.530973451327,Fatal-112,
0.0,7.0,1.0,261.0,Boeing777,129.36802973977694,Non-Fatal,
