Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20130821X54016,Incident,ENG13WA035,2013-07-31,China,Non-Fatal,,Airplane,VQ-BGZ,Boeing,747,,Turbo Fan,NUSC,0.0,0.0,0.0,3.0,,,3.0
20131106X52550,Incident,DCA13WA169,2013-08-02,"Leeds, United Kingdom",,,Airplane,G-CELF,Boeing,737 - 377,2.0,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130806X13743,Accident,ANC13CA073,2013-08-05,"Kokhanok, AK",Non-Fatal,Substantial,Airplane,N5364Q,Cessna,U206F,1.0,Reciprocating,135,0.0,0.0,0.0,6.0,VMC,,6.0
20130814X15751,Accident,DCA13MA133,2013-08-14,"Birmingham, AL",Fatal,Destroyed,Airplane,N155UP,Airbus,A300 - F4 622R,2.0,Turbo Fan,121,2.0,0.0,0.0,0.0,Unk,,2.0
20130827X65552,Accident,DCA13WA137,2013-08-20,"Sucre, Saint Barthelemy",Non-Fatal,Substantial,Airplane,CP-2655,Fairchild,SA227,,,NUSC,0.0,0.0,0.0,10.0,,,10.0
20130823X01729,Accident,WPR13LA382,2013-08-22,"Boise, ID",Non-Fatal,Substantial,Airplane,N922MA,Cessna,206,1.0,Reciprocating,135,0.0,0.0,0.0,5.0,VMC,,5.0
20130829X50738,Incident,DCA13WA143,2013-08-23,"Gatwick, United Kingdom",,,Airplane,G-FCLK,Boeing,757,,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130828X35656,Accident,ANC13LA085,2013-08-24,"Tokotna, AK",Non-Fatal,Substantial,Airplane,N35952,Cessna,U206F,1.0,Reciprocating,135,0.0,0.0,0.0,1.0,VMC,,1.0
20130906X22905,Accident,ERA13WA401,2013-08-30,"Macas, Spain",Non-Fatal,Substantial,Airplane,HC-BOD,Piper,PA-32-300,,Reciprocating,NUSC,0.0,1.0,7.0,0.0,VMC,,8.0
20130904X10408,Incident,ENG13IA036,2013-08-31,"Aguadilla, PR",,Minor,Airplane,PH-MCW,"Boeing Company, Long Beach Div",BOEING MD-11,,Turbo Fan,129,0.0,0.0,0.0,0.0,Unk,,0.0
20130901X95021,Accident,DCA13FA148,2013-09-01,"Telluride, CO",Non-Fatal,Substantial,Airplane,N169GL,Beech,1900D,2.0,Turbo Prop,121,0.0,0.0,0.0,12.0,VMC,,12.0
20131107X31340,Incident,DCA13WA170,2013-09-01,"Dar Es Salaam, Tanzania, United Republic of",,Minor,Airplane,A40-BB,Boeing,737,,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130906X85732,Accident,ANC13CA094,2013-09-05,"McGrath, AK",Non-Fatal,Substantial,Airplane,N735LS,Cessna,U206G,1.0,Reciprocating,135,0.0,1.0,0.0,3.0,VMC,,4.0
20131101X80742,Accident,DCA13WA168,2013-09-07,"Kodoeskop, South Africa",Non-Fatal,Substantial,Airplane,ZS-PXV,Cessna,206 - H,,,NUSC,0.0,2.0,0.0,0.0,,,2.0
20131212X22541,Accident,ANC13CA108,2013-09-07,"Mentasta Lake, AK",Non-Fatal,Substantial,Airplane,N432X,Cessna,185,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,VMC,,3.0
20130911X90214,Accident,ERA13WA411,2013-09-09,"Valparaiso, Chile",Fatal,Destroyed,Airplane,CC-CNW,Dornier,228,,,NUSC,2.0,0.0,0.0,0.0,,,2.0
