,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1383,20160811X81653,DCA16CA211,2016-08-10,"New York, NY",Non-Fatal,N3762Y,2.0,Turbo Fan,0.0,0.0,0.0,168.0,168.0,Boeing: 737 832
1384,20160812X71506,DCA16IA215,2016-08-12,"Wood, SD",Non-Fatal,N632JB,2.0,Turbo Fan,0.0,27.0,0.0,124.0,151.0,Airbus: A320 232
1386,20160822X94859,DCA16CA214,2016-08-17,"Waco, TX",Non-Fatal,N37408,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing: 737 924
1390,20160827X31134,DCA16FA217,2016-08-27,"Pensacola, FL",Non-Fatal,N766SW,2.0,Turbo Fan,0.0,0.0,0.0,104.0,104.0,Boeing: 737-700
1409,20161011X51744,DCA17CA005,2016-10-05,"Denver, CO",Non-Fatal,N8324A,2.0,,0.0,0.0,1.0,178.0,179.0,Boeing: 737-8H4
1413,20161027X90500,DCA17WA012,2016-10-10,"Surabaya, Indonesia",Non-Fatal,PK-CKF,,,0.0,0.0,0.0,108.0,108.0,Boeing: 737
1418,20161027X90950,ENG17IA003,2016-10-26,"Seattle, WA",Non-Fatal,N855NW,2.0,Turbo Fan,0.0,0.0,0.0,120.0,120.0,Airbus: A330 223
1419,20161027X20715,DCA17IA020,2016-10-27,"New York, NY",Non-Fatal,N278EA,2.0,Turbo Fan,0.0,0.0,0.0,48.0,48.0,Boeing: 737 7L9
1420,20161028X72837,DCA17FA021,2016-10-28,"Chicago, IL",Non-Fatal,N345AN,2.0,Turbo Fan,0.0,20.0,1.0,149.0,170.0,Boeing: 767
1426,20170419X83518,DCA17CA096,2016-11-21,"Hopewell, VA",Non-Fatal,N930AT,2.0,Turbo Fan,0.0,0.0,1.0,109.0,110.0,Boeing: 717 200
1428,20161208X21155,ENG17IA006,2016-11-29,"Kansas, IL",Non-Fatal,N367CA,2.0,Turbo Fan,0.0,0.0,0.0,73.0,73.0,Bombardier: CL 600 2C10
1430,20171012X93230,DCA17WA219,2016-12-02,"Nagpur, India",Non-Fatal,VT-JFP,,,0.0,0.0,0.0,200.0,200.0,Boeing: 737
1431,20161205X55455,ENG17IA005,2016-12-04,"San Antonio, TX",Non-Fatal,N161SY,2.0,Turbo Fan,0.0,1.0,0.0,54.0,55.0,Embraer: ERJ170 200LR
1432,20161208X45131,DCA17WA035,2016-12-04,"Lajes Terceira Island, Portugal",Non-Fatal,A7-BAN,,,0.0,0.0,5.0,351.0,356.0,Boeing: 777
1435,20161216X60544,DCA17CA042,2016-12-14,"Denver, CO",Non-Fatal,N24202,2.0,Turbo Fan,0.0,0.0,1.0,102.0,103.0,Boeing: 737 824
1440,20161227X90219,DCA17WA047,2016-12-27,"Dabolim, Goa, India",Non-Fatal,VT-JBG,,,0.0,10.0,0.0,151.0,161.0,Boeing: 737
1446,20170111X53648,DCA17WA053,2017-01-10,"Bournemouth, United Kingdom",Non-Fatal,G-FDZY,2.0,Turbo Fan,0.0,0.0,0.0,182.0,182.0,Boeing: BOEING 737-8K5
1450,20170124X45041,ENG17IA008,2017-01-23,"Baltimore, MD",Non-Fatal,N8986B,2.0,Turbo Fan,0.0,0.0,0.0,51.0,51.0,Bombardier: CL 600 2B19
1453,20170208X03312,ERA17WA111,2017-02-07,"Freeport, Bahamas",Non-Fatal,C6-HBW,,,0.0,0.0,0.0,36.0,36.0,Saab: 340
1454,20170222X74447,DCA17WA070,2017-02-11,"Jeddah, Saudi Arabia",Non-Fatal,YI-AQZ,,,0.0,0.0,0.0,365.0,365.0,Boeing: 777
1456,20170224X03359,DCA17CA072,2017-02-12,"Phoenix, AZ",Non-Fatal,N7822A,2.0,Turbo Fan,0.0,0.0,0.0,143.0,143.0,Boeing: 737 76N
1457,20170222X80758,DCA17CA071,2017-02-13,"Dulles, VA",Non-Fatal,N838CA,1.0,Turbo Prop,0.0,0.0,1.0,52.0,53.0,Bombardier: DHC 8 311
1460,20170216X44213,DCA17CA064,2017-02-15,"Charlotte, NC",Non-Fatal,N709PS,2.0,Turbo Fan,0.0,0.0,0.0,48.0,48.0,Bombardier: CL 600 2C10
1465,20170301X74824,DCA17WA073,2017-02-28,"Azraq, Jordan",Non-Fatal,N351AX,2.0,Turbo Fan,0.0,0.0,0.0,217.0,217.0,Boeing: 767 33A
1467,20170331X95128,DCA17CA087,2017-03-06,"Los Angeles, CA",Non-Fatal,N369NB,2.0,Turbo Fan,0.0,0.0,1.0,120.0,121.0,Airbus: A319 114
1469,20170308X73155,DCA17FA076,2017-03-08,"Ypsilanti, MI",Non-Fatal,N786TW,2.0,Turbo Jet,0.0,1.0,0.0,115.0,116.0,Mcdonnell Douglas: MD80
1470,20170317X92137,DCA17CA079,2017-03-10,"Dallas-Fort Worth (DFW), TX",Non-Fatal,N9615W,2.0,Turbo Fan,0.0,0.0,1.0,106.0,107.0,Mcdonnell Douglas: DC 9 83(MD-83)
