Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region
20120427X01955,DCA12RA065,2012-04-20,"Islamabad, Pakistan",Fatal,AP-BKC,2.0,,127.0,0.0,0.0,0.0,127.0,Boeing: 737,Islamabad,Pakistan
20130110X10345,DCA12WA161,2012-04-22,"Karachi, Pakistan",Non-Fatal,AP-BJN,2.0,,0.0,0.0,0.0,171.0,171.0,Boeing: 737,Karachi,Pakistan
20120511X73555,DCA12FA069,2012-05-10,"Fort Lauderdale, FL",Non-Fatal,N951FR,2.0,Turbo Fan,0.0,0.0,1.0,142.0,143.0,Airbus: A319-112,Fort Lauderdale,Florida
20130604X82231,ENG12WA038,2012-05-27,"CAM RANH, Vietnam, Vietnam",Non-Fatal,VN-A356,2.0,Turbo Fan,0.0,0.0,0.0,91.0,91.0,Airbus: A321,Cam Ranh,"Vietnam, Vietnam"
20120615X74656,DCA12WA093,2012-06-01,"Pontianak, Indonesia",Non-Fatal,PKCJV,,,0.0,0.0,0.0,173.0,173.0,Boeing: 737,Pontianak,Indonesia
20120608X43116,DCA12CA086,2012-06-07,"Philadelphia, PA",Non-Fatal,N936UW,2.0,Turbo Fan,0.0,1.0,1.0,184.0,186.0,Boeing: 757 2B7,Philadelphia,Pennsylvania
20120612X01249,DCA12CA088,2012-06-11,"Minneapolis, MN",Non-Fatal,N352NW,2.0,Turbo Fan,0.0,0.0,1.0,149.0,150.0,Airbus: A320-212,Minneapolis,Minnesota
20120613X32202,DCA12LA091,2012-06-13,"Winnie, TX",Non-Fatal,N16709,2.0,Turbo Fan,0.0,0.0,2.0,79.0,81.0,Boeing: 737-724,Winnie,Texas
20120621X34639,DCA12IA096,2012-06-17,"Las Vegas, NV",Non-Fatal,N552JB,2.0,Turbo Fan,0.0,0.0,0.0,154.0,154.0,Airbus: A320,Las Vegas,Nevada
20120706X92817,DCA12WA104,2012-07-05,"Frankfurt, Germany",Non-Fatal,D-ASXE,,,0.0,0.0,1.0,85.0,86.0,Boeing: 737,Frankfurt,Germany
20120713X01334,DCA12WA109,2012-07-05,"Tokyo, Japan",Non-Fatal,N224UA,2.0,Turbo Fan,0.0,3.0,1.0,252.0,256.0,Boeing: 777-222,Tokyo,Japan
20120808X23954,DCA12WA121,2012-07-18,"La Serena, Chile",Non-Fatal,CC-CRQ,,,0.0,0.0,0.0,120.0,120.0,Boeing: 737,La Serena,Chile
20120719X94744,CEN12LA457,2012-07-19,"Peoria, IL",Non-Fatal,N502AE,2.0,Turbo Fan,0.0,0.0,1.0,56.0,57.0,Bombardier: CL-600-2C10,Peoria,Illinois
20120727X13551,DCA12IA113,2012-07-27,"El Paso, TX",Non-Fatal,N379SW,2.0,Turbo Fan,0.0,0.0,0.0,76.0,76.0,Boeing: 737-3H4,El Paso,Texas
20120730X60929,DCA12WA117,2012-07-28,"Linz, Austria",Non-Fatal,D-ABOK,,,0.0,0.0,0.0,273.0,273.0,Boeing: 757,Linz,Austria
20120802X03552,CEN12IA502,2012-07-31,"Denver, CO",Non-Fatal,N37420,2.0,Turbo Fan,0.0,0.0,0.0,157.0,157.0,Boeing: 737-924ER,Denver,Colorado
20121101X94754,ENG12WA036,2012-08-03,"Rome, Italy",Non-Fatal,EI-IMS,2.0,Turbo Fan,0.0,0.0,0.0,100.0,100.0,Airbus: A319,Rome,Italy
20120807X32623,ERA12LA498,2012-08-05,"Hilton Head, SC",Non-Fatal,N134HQ,2.0,Turbo Fan,0.0,0.0,1.0,75.0,76.0,Embraer: ERJ 170-200 LR,Hilton Head,South Carolina
20120811X13221,DCA12CA122,2012-08-10,"Dulles, VA",Non-Fatal,D-AIKE,2.0,Turbo Fan,0.0,0.0,0.0,270.0,270.0,Airbus: A330,Dulles,Virginia
20120831X52443,DCA12WA133,2012-08-24,"Santo Domingo, Venezuela",Non-Fatal,YV493T,,,0.0,0.0,0.0,147.0,147.0,Mcdonnell Douglas: DC9,Santo Domingo,Venezuela
20120830X44613,DCA12WA131,2012-08-27,"London, United Kingdom",Non-Fatal,N642UA,,,0.0,0.0,0.0,151.0,151.0,Boeing: 767,London,United Kingdom
20120915X93442,DCA12WA146,2012-09-14,"Sao Paulo, Brazil",Non-Fatal,N173DZ,2.0,Turbo Fan,0.0,0.0,0.0,220.0,220.0,Boeing: 767-332,Sao Paulo,Brazil
20120924X32520,DCA12CA149,2012-09-18,"Sophia, NC",Non-Fatal,N273AY,2.0,Turbo Fan,0.0,0.0,1.0,158.0,159.0,Airbus: A330-323,Sophia,North Carolina
